slug,authority,official_url,fee,exam_format,eligibility,frequency,pass_rate,source_checked_at,name,major_category,type,search_query
c-3873,,,,,,,,,情報処理検定1級,IT・情報処理,要確認,情報処理検定1級 受験料 受験資格 公式
c-3874,,,,,,,,,情報処理検定2級,IT・情報処理,要確認,情報処理検定2級 受験料 受験資格 公式
c-3875,,,,,,,,,情報処理検定3級,IT・情報処理,要確認,情報処理検定3級 受験料 受験資格 公式
c-3801,,,,,,,,,日本語ワープロ検定1級,IT・情報処理,要確認,日本語ワープロ検定1級 受験料 受験資格 公式
c-3802,,,,,,,,,日本語ワープロ検定2級,IT・情報処理,要確認,日本語ワープロ検定2級 受験料 受験資格 公式
c-3803,,,,,,,,,日本語ワープロ検定3級,IT・情報処理,要確認,日本語ワープロ検定3級 受験料 受験資格 公式
c-3804,,,,,,,,,日本語ワープロ検定4級,IT・情報処理,要確認,日本語ワープロ検定4級 受験料 受験資格 公式
c-3882,,,,,,,,,検索技術者検定1級,IT・情報処理,要確認,検索技術者検定1級 受験料 受験資格 公式
c-3883,,,,,,,,,検索技術者検定2級,IT・情報処理,要確認,検索技術者検定2級 受験料 受験資格 公式
c-3884,,,,,,,,,検索技術者検定3級,IT・情報処理,要確認,検索技術者検定3級 受験料 受験資格 公式
c-3202,,,,,,,,,不動産鑑定士補,不動産,国家,不動産鑑定士補 受験料 受験資格 公式
c-3206,,,,,,,,,不動産コンサルティング技能登録,不動産,要確認,不動産コンサルティング技能登録 受験料 受験資格 公式
c-2505,,,,,,,,,ファイナンシャルプランナー(CFP/AFP),会計・金融・経営,要確認,ファイナンシャルプランナー(CFP/AFP) 受験料 受験資格 公式
c-3630,,,,,,,,,簿記実務検定1級,会計・金融・経営,要確認,簿記実務検定1級 受験料 受験資格 公式
c-3631,,,,,,,,,簿記実務検定2級,会計・金融・経営,要確認,簿記実務検定2級 受験料 受験資格 公式
c-3632,,,,,,,,,簿記実務検定3級,会計・金融・経営,要確認,簿記実務検定3級 受験料 受験資格 公式
c-2514,,,,,,,,,経営コンサルタント(日本生産性本部認定),会計・金融・経営,要確認,経営コンサルタント(日本生産性本部認定) 受験料 受験資格 公式
c-2513,,,,,,,,,経営労務コンサルタント,会計・金融・経営,要確認,経営労務コンサルタント 受験料 受験資格 公式
c-2108,,,,,,,,,カイロプラクティック資格,医療・看護・薬,民間,カイロプラクティック資格 受験料 受験資格 公式
c-2107,,,,,,,,,リフレクソロジスト資格,医療・看護・薬,民間,リフレクソロジスト資格 受験料 受験資格 公式
c-2105,,,,,,,,,整体師,医療・看護・薬,民間,整体師 受験料 受験資格 公式
c-3723,,,,,,,,,ケアクラーク技能認定,商業・販売・事務,要確認,ケアクラーク技能認定 受験料 受験資格 公式
c-3719,,,,,,,,,ドクターズクラーク(医師事務作業補助技能認定),商業・販売・事務,要確認,ドクターズクラーク(医師事務作業補助技能認定) 受験料 受験資格 公式
c-4109,,,,,,,,,中古自動車査定士,商業・販売・事務,要確認,中古自動車査定士 受験料 受験資格 公式
c-3725,,,,,,,,,介護保険事務管理士,商業・販売・事務,要確認,介護保険事務管理士 受験料 受験資格 公式
c-3716,,,,,,,,,医事管理士,商業・販売・事務,要確認,医事管理士 受験料 受験資格 公式
c-3708,,,,,,,,,医療事務実務士1級,商業・販売・事務,要確認,医療事務実務士1級 受験料 受験資格 公式
c-3709,,,,,,,,,医療事務実務士2級,商業・販売・事務,要確認,医療事務実務士2級 受験料 受験資格 公式
c-3713,,,,,,,,,医療事務検定試験,商業・販売・事務,要確認,医療事務検定試験 受験料 受験資格 公式
c-3715,,,,,,,,,医療事務資格,商業・販売・事務,要確認,医療事務資格 受験料 受験資格 公式
c-3707,,,,,,,,,医療保険請求事務者(医科・歯科),商業・販売・事務,要確認,医療保険請求事務者(医科・歯科) 受験料 受験資格 公式
c-3717,,,,,,,,,医療秘書士,商業・販売・事務,要確認,医療秘書士 受験料 受験資格 公式
c-3718,,,,,,,,,医療管理秘書士,商業・販売・事務,要確認,医療管理秘書士 受験料 受験資格 公式
c-4106,,,,,,,,,印刷営業士,商業・販売・事務,要確認,印刷営業士 受験料 受験資格 公式
c-4206,,,,,,,,,生命保険業界共通教育制度一般課程試験,商業・販売・事務,要確認,生命保険業界共通教育制度一般課程試験 受験料 受験資格 公式
c-4107,,,,,,,,,管理印刷営業士,商業・販売・事務,要確認,管理印刷営業士 受験料 受験資格 公式
c-4110,,,,,,,,,衣料管理士1~2級,商業・販売・事務,要確認,衣料管理士1~2級 受験料 受験資格 公式
c-3714,,,,,,,,,診療情報管理士,商業・販売・事務,要確認,診療情報管理士 受験料 受験資格 公式
c-7309,,,,,,,,,コンクリート技士・コンクリート主任技士,土木・測量・建設,要確認,コンクリート技士・コンクリート主任技士 受験料 受験資格 公式
c-6902,,,,,,,,,採石業務管理者,土木・測量・建設,要確認,採石業務管理者 受験料 受験資格 公式
c-6903,,,,,,,,,砂利採取業務主任者,土木・測量・建設,要確認,砂利採取業務主任者 受験料 受験資格 公式
c-1612,,,,,,,,,下水道管理技術認定(処理施設),安全・環境・危険物,国家,下水道管理技術認定(処理施設) 受験料 受験資格 公式
c-7033,,,,,,,,,圧入施工技士(1~2級),建築・設備,要確認,圧入施工技士(1~2級) 受験料 受験資格 公式
c-7032,,,,,,,,,基礎施工士,建築・設備,要確認,基礎施工士 受験料 受験資格 公式
c-7034,,,,,,,,,解体工事施工技士,建築・設備,要確認,解体工事施工技士 受験料 受験資格 公式
c-1314,,,,,,,,,設備管理士,建築・設備,要確認,設備管理士 受験料 受験資格 公式
c-2803,,,,,,,,,指定自動車教習所指導員,教育・保育・学術,要確認,指定自動車教習所指導員 受験料 受験資格 公式
c-2811,,,,,,,,,日本語教師養成講座修了(420時間),教育・保育・学術,要確認,日本語教師養成講座修了(420時間) 受験料 受験資格 公式
c-2801,,,,,,,,,看護教員,教育・保育・学術,要確認,看護教員 受験料 受験資格 公式
c-5823,,,,,,,,,整備管理者,機械・電気・ものづくり,国家,整備管理者 受験料 受験資格 公式
c-5822,,,,,,,,,自動車検査員,機械・電気・ものづくり,国家,自動車検査員 受験料 受験資格 公式
c-5728,,,,,,,,,家電製品エンジニア(AV情報家電),機械・電気・ものづくり,民間,家電製品エンジニア(AV情報家電) 受験料 受験資格 公式
c-5727,,,,,,,,,家電製品エンジニア(生活家電),機械・電気・ものづくり,民間,家電製品エンジニア(生活家電) 受験料 受験資格 公式
c-5520,,,,,,,,,アルミニウム溶接技能者(基本級),機械・電気・ものづくり,要確認,アルミニウム溶接技能者(基本級) 受験料 受験資格 公式
